,date,season,episode,character,line,action,episode_num
55,"28 March, 1999",1,1,Leela,Then you'll be fired--,,"1
"
56,"28 March, 1999",1,1,Fry,Fine!,,"1
"
57,"28 March, 1999",1,1,Leela,Out of a cannon into the Sun!,,"1
"
58,"28 March, 1999",1,1,Fry,But I don't like being a delivery boy.,,"1
"
59,"28 March, 1999",1,1,Leela,Well that's tough! Lots of people don't like their jobs but we do them anyway. You gotta do what you gotta do. Now hold out your hand. I'm gonna implant your career chip. It'll permanently label you as a delivery boy.,"She points at a poster of a man wearing a hardhat with the caption ""You Gotta Do What You Gotta Do"".","1
"
60,"28 March, 1999",1,1,Fry,Keep that thing away from me!,,"1
"
61,"28 March, 1999",1,1,Leela,"Hold still, dammit. I don't have good depth perception! You've got until the count of five to let me out of here. One--","She jumps at Fry, misses, and falls into a cryogenic freezer. It sets itself for 1000 years.","1
"
62,"28 March, 1999",1,1,Fry,See you in a thousand years! You owe me one.,He starts to walk out but hesitates. He walks back and changes the freeze time to five minutes.,"1
"
63,"28 March, 1999",1,1,Fry,Whoa!,,"1
"
64,"28 March, 1999",1,1,Man #1,JFK Jr. Airport.,,"1
"
65,"28 March, 1999",1,1,Man #1,.,,"1
"
66,"28 March, 1999",1,1,Fry,Cool! Um. Cross Town Express?,He steps into the tube.,"1
"
67,"28 March, 1999",1,1,Man #2,Pft! Tourist!,,"1
"
68,"28 March, 1999",1,1,Fry,Hey! A phone booth! I can call my nephew. Wow! A real live robot! Or is that some kind of cheesy New Year's costume?,"An impatient robot joins the queue behind him. It is more or less human-shaped, grey, with an antenna on top of its head.","1
"
69,"28 March, 1999",1,1,Bender,.,,"1
"
70,"28 March, 1999",1,1,Fry,It doesn't look so shiny to me.,,"1
"
71,"28 March, 1999",1,1,Bender,"Shinier than yours, meatbag!",,"1
"
72,"28 March, 1999",1,1,Bender,"Listen, buddy, I'm in a hurry here. Let's try for a two-fer!",,"1
"
73,"28 March, 1999",1,1,Booth Voice,"Please select mode of death: ""Quick and Painless"" or ""Slow and Horrible"".",,"1
"
74,"28 March, 1999",1,1,Fry,"Yeah, I'd like to place a collect call.",,"1
"
75,"28 March, 1999",1,1,Booth Voice,"You have selected: ""Slow and Horrible"".",,"1
"
76,"28 March, 1999",1,1,Bender,"Great choice! Bring it on, baby!","Knives, and come out from behind a hatch.","1
"
77,"28 March, 1999",1,1,Bender,"C'mon, c'mon! Kill me already! By the way, my name's Bender!",,"1
"
78,"28 March, 1999",1,1,Fry,Help! What's happening?,,"1
"
79,"28 March, 1999",1,1,Booth Voice,"You are now dead. Thank you for using Stop-N-Drop, America's favourite suicide booth since 2008.",,"1
"
80,"28 March, 1999",1,1,Bender,"Lousy, stinking rip-off! Well, I didn't have anything else planned for today. Let's go get drunk!",He kicks the booth.,"1
"
81,"28 March, 1999",1,1,Leela,"Two, three-- Hey!",,"1
"
82,"28 March, 1999",1,1,Terry,Welcome to the world of tomorrow!,melodramatically,"1
"
83,"28 March, 1999",1,1,Leela,"Shut up, Terry.",,"1
"
84,"28 March, 1999",1,1,Ipgee,"This is unacceptable, Leela. You must find this Mr. Fry and install his chip.",,"1
"
85,"28 March, 1999",1,1,Leela,"Look, he's just a nobody who doesn't want to be a delivery boy. I'd really rather not force it on him.",,"1
"
86,"28 March, 1999",1,1,Ipgee,"Well that's your job, whether you like it or not. And it's my job to make you do your job whether I like it or not, which I do, very much! Now get to work! Life is good!",Leela leaves. He puts his feet up on the desk.,"1
"
87,"28 March, 1999",1,1,Fry,Why would a robot need to drink?,,"1
"
88,"28 March, 1999",1,1,Bender,"I don't need to drink, I can quit anytime I want! So they made you a delivery boy, huh? Man, that's as bad as my job.",He belches fire.,"1
"
89,"28 March, 1999",1,1,Fry,"Really? What do you do, Bender?",,"1
"
90,"28 March, 1999",1,1,Bender,"I'm a bender. I bend girders, that's all I'm programmed to do.",,"1
"
91,"28 March, 1999",1,1,Fry,You any good at it?,,"1
"
92,"28 March, 1999",1,1,Bender,"You kidding? I was a star! I could bend a girder to any angle: 30 degrees, 32 degrees, you name it! 31. But I couldn't go on living once I found out what the girders were for.",unsurenormal,"1
"
93,"28 March, 1999",1,1,Fry,What?,,"1
"
94,"28 March, 1999",1,1,Bender,"Suicide booths! Well, Fry, it was a pleasure meeting you. I'm gonna go kill myself.",He finishes his drink and swallows the bottle.,"1
"
95,"28 March, 1999",1,1,Fry,Wait! You're the only friend I have!,,"1
"
96,"28 March, 1999",1,1,Bender,You really want a robot for a friend?,,"1
"
97,"28 March, 1999",1,1,Fry,"Yeah, ever since I was six.",,"1
"
98,"28 March, 1999",1,1,Bender,"Well, OK. But I don't want people thinking we're robo-sexuals. So, if anyone asks, you're my debugger.",,"1
"
99,"28 March, 1999",1,1,Fry,"Oh, no, it's the Cyclops! Don't look! Don't look!",He crouches down behind Bender.,"1
"
100,"28 March, 1999",1,1,Bender,I'm not looking!,,"1
"
101,"28 March, 1999",1,1,Leela,This is officer 1B-DI requesting back-up.,,"1
"
102,"28 March, 1999",1,1,Smitty,We'll be there in five minutes.,,"1
"
103,"28 March, 1999",1,1,Bender,We can hide in here. It's free on Tuesdays!,,"1
"
104,"28 March, 1999",1,1,Nimoy,Welcome to the Head Museum. I'm Leonard Nimoy.,,"1
"
105,"28 March, 1999",1,1,Fry,Spock? Hey! Hey... Do the thing!,,"1
"
106,"28 March, 1999",1,1,Nimoy,I don't do that anymore.,,"1
"
107,"28 March, 1999",1,1,Fry,This is unbelievable! What do you heads do all day?,,"1
"
108,"28 March, 1999",1,1,Nimoy,We share our wisdom with those who seek it. It's a life of quiet dignity.,,"1
"
109,"28 March, 1999",1,1,Woman,Feeding time!,,"1
"
110,"28 March, 1999",1,1,Leela,"Hmm. I'm sorry, Fry, but I have to install your career chip.",She looks around and sees Fry and Bender hiding behind a shelf in amongst other assorted heads.,"1
"
111,"28 March, 1999",1,1,Fry,"Yeah, well, if you're sorry why are you doing it?",,"1
"
112,"28 March, 1999",1,1,Leela,It's my job. You gotta do what you gotta do! Watch it!,Fry backs away and hits a shelf with the heads of US presidents on it.,"1
"
113,"28 March, 1999",1,1,Nixon,That's it! You just made my list!,,"1
"
114,"28 March, 1999",1,1,Fry,"Ow! Stop it! Down, boy! Bad president!",,"1
"
115,"28 March, 1999",1,1,Smitty,"Alright, buddy, step away from the head!",,"1
"
116,"28 March, 1999",1,1,URL,I'm gonna get on his ass!,,"1
"
117,"28 March, 1999",1,1,Leela,"Please, officers, there's no need to use force.",,"1
"
118,"28 March, 1999",1,1,URL,"Let us handle this, weird-y.",,"1
"
119,"28 March, 1999",1,1,Leela,"Oh, come on, he's just a poor kid from the Stupid Ages.",,"1
"
120,"28 March, 1999",1,1,Smitty,"Keep your big nose out of this, eyeball!",,"1
"
121,"28 March, 1999",1,1,Leela,No-one makes fun of my nose.,,"1
"
122,"28 March, 1999",1,1,URL,Damn!,,"1
"
123,"28 March, 1999",1,1,Leela,You guys were totally out of control.,,"1
"
124,"28 March, 1999",1,1,Smitty,It's our job. We're peace officers.,,"1
"
125,"28 March, 1999",1,1,URL,"Yeah, you know the law: You gotta do what you gotta do.",,"1
"
126,"28 March, 1999",1,1,Bender,"Oh, we're trapped!",,"1
"
127,"28 March, 1999",1,1,Fry,"Wait a second. You're a bender, right? We can get out of here if you just bend the bars.",,"1
"
128,"28 March, 1999",1,1,Bender,"Dream on, skin tube. I'm only programmed to bend for constructive purposes. What do I look like, a de-bender?",,"1
"
129,"28 March, 1999",1,1,Fry,Who cares what you're programmed for. If someone programmed you to jump off a bridge would you do it?,,"1
"
130,"28 March, 1999",1,1,Bender,I'll have to check my program ... yep.,,"1
"
131,"28 March, 1999",1,1,Leela,Open up!,from outside,"1
"
132,"28 March, 1999",1,1,Fry,"C'mon, Bender! It's up to you to make your own decisions in life. That's what separates people and robots from animals ... and animal robots.",,"1
"
133,"28 March, 1999",1,1,Bender,"You're full of crap, Fry! You make a persuasive argument, Fry.",He turns and a dangling wire catches on his antenna and electrocutes him.,"1
"
134,"28 March, 1999",1,1,Fry,"Come on, Bender! You can do it.",,"1
"
135,"28 March, 1999",1,1,Bender,Can't ... I ... can't ... do ... it!,,"1
"
136,"28 March, 1999",1,1,Fry,Yes!,,"1
"
137,"28 March, 1999",1,1,Bender,"You were right, Fry! From now on I'm going to bend what I want, when I want, who I want! I'm unstoppable!",,"1
"
138,"28 March, 1999",1,1,Fry,I don't know how you did that.,,"1
"
139,"28 March, 1999",1,1,Leela,Wait!,,"1
"
140,"28 March, 1999",1,1,Bender,"No, thanks.",shouting,"1
"
141,"28 March, 1999",1,1,Bender,Looks like one of us will have to bend this grate.,,"1
"
142,"28 March, 1999",1,1,Fry,Good Lord! What is this?,,"1
"
143,"28 March, 1999",1,1,Bender,"It's the decaying ruins of . Welcome home, pal!",,"1
"
144,"28 March, 1999",1,1,Fry,"It's my old neighbourhood. Man, this brings back a lot of memories.",,"1
"
145,"28 March, 1999",1,1,Bender,"Keep 'em to yourself, Pops!",,"1
"
146,"28 March, 1999",1,1,Fry,This is where I brought my girlfriend on our very first date.,,"1
"
147,"28 March, 1999",1,1,Fry,My God! She's gone. Everyone I ever knew or cared about is gone.,,"1
"
148,"28 March, 1999",1,1,Bender,Wait! There's someone you know!,,"1
"
149,"28 March, 1999",1,1,Fry,"Oh, can't you leave me alone? I'm miserable enough already.",,"1
"
150,"28 March, 1999",1,1,Leela,"Look, I know it's not much consolation but I understand how you feel.",,"1
"
151,"28 March, 1999",1,1,Fry,"No, you don't. I've got no home, no family--",,"1
"
152,"28 March, 1999",1,1,Bender,No friends.,,"1
"
153,"28 March, 1999",1,1,Fry,My whole world is gone. You can't possibly understand what it feels like to be so alone.,,"1
"
154,"28 March, 1999",1,1,Leela,I understand. I'm the only one-eyed alien on this whole planet. My parents abandoned me here as a baby and I don't even know what galaxy they were from. I know how it feels to be alone.,,"1
"
155,"28 March, 1999",1,1,Fry,"Look, Leela, I don't understand this world but you obviously do, so I give up. If you really think I should be a delivery boy, I'll do it. Your chip. What are you doing?",He holds out his hand to Leela. She gets the implant gun ready. Fry cringes and looks away. The gun clicks but Fry feels nothing. He opens his eyes and sees Leela drop her own chip on the floor.,"1
"
156,"28 March, 1999",1,1,Leela,Quitting.,,"1
"
157,"28 March, 1999",1,1,Fry,Why?,,"1
"
158,"28 March, 1999",1,1,Leela,Because I've always wanted to. I just never realised it before I met you.,,"1
"
159,"28 March, 1999",1,1,Fry,What is the matter with you?,,"1
"
160,"28 March, 1999",1,1,Bender,I just wanted to be part of the moment.,,"1
"
161,"28 March, 1999",1,1,Leela,Hey! He stole my ring!,,"1
"
162,"28 March, 1999",1,1,Bender,"Sorry. Well, that solves the mystery of the missing ring. This calls for a drink.",He hands Leela's ring back.,"1
"
163,"28 March, 1999",1,1,Leela,I don't wanna spoil the party but we're all job deserters now. We're unemployed and we have nowhere to go.,,"1
"
164,"28 March, 1999",1,1,Fry,Correction: We're unemployed but we have a doddering old relative to mooch off of.,,"1
"
165,"28 March, 1999",1,1,Clark,"Hello, I'm Dick Clark's head. Welcome to a special year 3000 edition of New Year's Rockin' Eve!",on TV,"1
"
166,"28 March, 1999",1,1,Farnsworth,Who are you?,,"1
"
167,"28 March, 1999",1,1,Fry,I'm your dear old Uncle Fry.,,"1
"
168,"28 March, 1999",1,1,Farnsworth,I don't have an Uncle Fry.,,"1
"
169,"28 March, 1999",1,1,Bender,You do now!,,"1
"
170,"28 March, 1999",1,1,Farnsworth,"By God, I am your nephew! This is absolutely incredible!",,"1
"
171,"28 March, 1999",1,1,Bender,Can we have some money?,,"1
"
172,"28 March, 1999",1,1,Farnsworth,"Oh, my, no.",,"1
"
173,"28 March, 1999",1,1,Farnsworth,Let me show you around. That's my lab table and this is my work-stool. And over there is my ! And here's where I keep assorted lengths of wire.,He points in the general direction of a big green spaceship in a huge hangar next to the lab.,"1
"
174,"28 March, 1999",1,1,Fry,Whoa! A real live spaceship!,,"1
"
175,"28 March, 1999",1,1,Farnsworth,I designed it myself. Let me show you some of the different lengths of wire I used.,,"1
"
176,"28 March, 1999",1,1,Smitty,"Attention, job deserters! Come out with your hands up. We have you partially surrounded.",from outside,"1
"
177,"28 March, 1999",1,1,Fry,No!,,"1
"
178,"28 March, 1999",1,1,Nixon,Get those bums!,,"1
"
179,"28 March, 1999",1,1,Bender,"Well, !",,"1
"
180,"28 March, 1999",1,1,Leela,Can't we get away in the ship?,,"1
"
181,"28 March, 1999",1,1,Farnsworth,I suppose it is technically possible. Though .,,"1
"
182,"28 March, 1999",1,1,Fry,I'll get us out of here.,,"1
"
183,"28 March, 1999",1,1,Farnsworth,Can anyone drive stick?,,"1
"
184,"28 March, 1999",1,1,Leela,I can. As long as I don't have to parallel park.,,"1
"
185,"28 March, 1999",1,1,URL,"If they try to take off, give 'em an ass-ful of laser.",,"1
"
186,"28 March, 1999",1,1,Leela,Prepare for lift-off. Ten.,,"1
"
187,"28 March, 1999",1,1,Crowd,Nine!,chanting,"1
"
188,"28 March, 1999",1,1,Crowd,Amania!,chanting,"1
"
189,"28 March, 1999",1,1,Crowd,Seven!,chanting,"1
"
190,"28 March, 1999",1,1,Aliens,Six.,chanting; in alien,"1
"
191,"28 March, 1999",1,1,Terry,Five!,dramatically,"1
"
192,"28 March, 1999",1,1,Nimoy,Four.,,"1
"
193,"28 March, 1999",1,1,Farnsworth,Three.,,"1
"
194,"28 March, 1999",1,1,Bender,Two.,,"1
"
195,"28 March, 1999",1,1,Leela,One!,,"1
"
196,"28 March, 1999",1,1,Fry,Blast-off!,,"1
"
197,"28 March, 1999",1,1,Nixon,Fire! Fire!,,"1
"
198,"28 March, 1999",1,1,Smitty,I can't see nothing. Pretty though!,,"1
"
199,"28 March, 1999",1,1,Fry,"So, I guess, without jobs, we'll be fugitives forever.",,"1
"
200,"28 March, 1999",1,1,Farnsworth,"Not necessarily. Are you three, by any chance, interested in becoming my new spaceship crew?",,"1
"
201,"28 March, 1999",1,1,Bender,New crew? W-What happened to the old crew?,,"1
"
202,"28 March, 1999",1,1,Farnsworth,Of those poor sons of-- But that's not important. The important thing is I need a new crew. Anyone interested?,,"1
"
203,"28 March, 1999",1,1,Fry,Yes! Yes! That's exactly the job I've always wanted!,,"1
"
204,"28 March, 1999",1,1,Leela,"Thanks for the offer, Professor, but we don't have the proper career chips.",,"1
"
205,"28 March, 1999",1,1,Farnsworth,"Oh, that won't be a problem. As luck would have it, I saved the chips from my previous crew.",,"1
"
206,"28 March, 1999",1,1,Fry,This is awesome! Are we gonna fly through space fighting monsters and teaching alien women to lurve?,,"1
"
207,"28 March, 1999",1,1,Farnsworth,"If by that you mean ""transporting cargo"" then yes. It's a little home business I started to fund my research.",,"1
"
208,"28 March, 1999",1,1,Fry,Cool! What's my job gonna be?,,"1
"
209,"28 March, 1999",1,1,Farnsworth,You will be responsible for ensuring that the cargo reaches its destination.,,"1
"
210,"28 March, 1999",1,1,Fry,"So, I'm gonna be a delivery boy?",,"1
"
211,"28 March, 1999",1,1,Farnsworth,Exactly!,,"1
"
212,"28 March, 1999",1,1,Fry,Alright! I'm a delivery boy!,,"1
"
213,"4 April, 1999",1,2,Farnsworth,"As new employees, I'd like your opinion on our commercial. I paid to have it air during the .",,"2
"
214,"4 April, 1999",1,2,Fry,Wow!,,"2
"
215,"4 April, 1999",1,2,Farnsworth,"Not on the same channel, of course.",,"2
"
216,"4 April, 1999",1,2,Announcer,Interplanetary deliveries - what a headache!,voice-over; on screen,"2
"
217,"4 April, 1999",1,2,Horrible Gelatinous Blob,Evans! Where's that package from Earth?,on screen,"2
"
218,"4 April, 1999",1,2,Man,Uh... I'm not Evans!,on screenHorrible Gelatinous Blob eats him. The man is suspended in the creature's translucent body.shouting,"2
"
219,"4 April, 1999",1,2,Horrible Gelatinous Blob,He should've used Planet Express!,on screen,"2
"
220,"4 April, 1999",1,2,Announcer,"When those other companies aren't brave or foolhardy enough to go, trust Planet Express for reliable, on time delivery.",voice-over; on screen,"2
"
221,"4 April, 1999",1,2,Evans,"Here's your package, Mr. Horrible Gelatinous Blob.",on screen,"2
"
222,"4 April, 1999",1,2,Horrible Gelatinous Blob,"Good work, Evans! You've got a future around here.",on screen,"2
"
223,"4 April, 1999",1,2,Evans,"Thank you, sir!",on screen,"2
"
224,"4 April, 1999",1,2,Announcer,Planet Express: Our crew is replaceable. Your package isn't.,voice-over; on screen,"2
"
225,"4 April, 1999",1,2,Fry,Are there really giant birds like that?,,"2
"
226,"4 April, 1999",1,2,Farnsworth,"No, no! That was all just special effects! Now let's have breakfast. I hope everyone likes eggs.",,"2
"
227,"4 April, 1999",1,2,Fry,I'm never going to get used to the 31st century. Caffinated bacon? Baconated grapefruit? ?,He points to his breakfast.,"2
"
228,"4 April, 1999",1,2,Leela,"Well, if you don't like that, try some .",,"2
"
229,"4 April, 1999",1,2,Farnsworth,"Ah, Hermes! Crew, meet Hermes Conrad. He manages my delivery business, pays the bills, notifies next of kin, what have you.",,"2
"
230,"4 April, 1999",1,2,Hermes,Someone come and dropped this package through the slot last night. Now which one of you is the captain?,,"2
"
231,"4 April, 1999",1,2,Farnsworth,"Oh, my! I haven't picked a new captain yet. It's always so hard to choose.",,"2
"
232,"4 April, 1999",1,2,Fry,"Ooh! Ooh, ooh, ooh!",,"2
"
233,"4 April, 1999",1,2,Farnsworth,"Hmm, you!",,"2
"
234,"4 April, 1999",1,2,Hermes,"OK, Captain, this is just a standard legal release protecting Planet Express from lawsuits in the event of the unforeseen.",,"2
"
235,"4 April, 1999",1,2,Leela,Death by airlock failure.,reading,"2
"
236,"4 April, 1999",1,2,Hermes,Mm.,,"2
"
237,"4 April, 1999",1,2,Leela,Death by brain parasite.,reading,"2
"
238,"4 April, 1999",1,2,Hermes,Yeah.,,"2
"
239,"4 April, 1999",1,2,Leela,Death by sonic diarrhoea?,reading,"2
"
240,"4 April, 1999",1,2,Hermes,"Oh, you don't want that!",chuckling,"2
"
241,"4 April, 1999",1,2,Leela,"Look, I don't know about any of your previous captains but I intend to do as little dying as possible.",,"2
"
242,"4 April, 1999",1,2,Hermes,Sign the paper!,,"2
"
243,"4 April, 1999",1,2,Farnsworth,"Now, Fry, before you go into space you'll need to see our staff doctor. I should warn you though, he's a little ... unusual. He wears sandals!",whispering,"2
"
244,"4 April, 1999",1,2,Fry,Hi--,,"2
"
245,"4 April, 1999",1,2,Farnsworth,"Dr. Zoidberg, this is Fry, the new delivery boy. He needs a physical.",,"2
"
246,"4 April, 1999",1,2,Zoidberg,"Excellent, excellent!",,"2
"
247,"4 April, 1999",1,2,Farnsworth,You'll be fine.,,"2
"
248,"4 April, 1999",1,2,Zoidberg,"Now open your mouth and let's have a look at that brain. No, no, no, no, no, not that mouth!",Fry opens his mouth.,"2
"
249,"4 April, 1999",1,2,Fry,I only have one.,,"2
"
250,"4 April, 1999",1,2,Zoidberg,Really?,,"2
"
251,"4 April, 1999",1,2,Fry,"Uh, is there a human doctor around?",,"2
"
252,"4 April, 1999",1,2,Zoidberg,"Young lady, I'm an expert on humans. Now pick a mouth, open it and say... What? My mother was a saint! Get out!",He makes a weird noise. Fry clears his throat and tries to imitate him but fails.,"2
"
253,"4 April, 1999",1,2,Farnsworth,"Dear Lord, Bender, you're filthy.",,"2
"
254,"4 April, 1999",1,2,Bender,"Yeah, like you don't have crap in your neck!",,"2
"
255,"4 April, 1999",1,2,Farnsworth,"Amy, why don't you give his body a going over with the cleaning pick?",,"2
"
256,"4 April, 1999",1,2,Amy,OK. Does it hurt when I go like this?,,"2
"
257,"4 April, 1999",1,2,Leela,Ow!,,"2
"
258,"4 April, 1999",1,2,Bender,A little.,,"2
"
259,"4 April, 1999",1,2,Fry,"Well, the doctor says I'm as healthy as a crab. Can I go into space now?",,"2
"
260,"4 April, 1999",1,2,Farnsworth,"As soon as we finish cleaning Bender. Oh, and Fry, this is our intern, Amy Wong. She's an engineering student of mine. I like having her around because she's the same blood type as me.",whispering,"2
"
261,"4 April, 1999",1,2,Amy,"Hey! You're the unfrozen guy! From the , right?",,"2
"
262,"4 April, 1999",1,2,Fry,Last time I checked.,chuffed,"2
"
263,"4 April, 1999",1,2,Leela,Hang on. Amy Wong? Of the ?,,"2
"
264,"4 April, 1999",1,2,Amy,"Look, we're not as rich as everybody says.",,"2
"
265,"4 April, 1999",1,2,Leela,Uh-huh! What sorority do you belong to?,,"2
"
266,"4 April, 1999",1,2,Amy,.,ashamed,"2
"
267,"4 April, 1999",1,2,Bender,"Hey, rich girl. Look over here! It's me, Bender. I'm being entertaining. Look at my head. It's all painted! Look at my head! I got a big, old head, hey! Ho! Alright, show's over, I'm tired.","His body reaches into Amy's back pocket, takes out her wallet and empties the money into his neck.singingHis body replaces the wallet and signals an all cleartalking","2
"
268,"4 April, 1999",1,2,Farnsworth,"Ah, to be young again. And also a robot. Now, as I recall, you youngsters have a package to deliver.",,"2
"
269,"4 April, 1999",1,2,Fry,"Finally! Come on, Bender. Let's mosey!",,"2
"
270,"4 April, 1999",1,2,Bender,"Nice catch, idiot!",,"2
"
271,"4 April, 1999",1,2,Fry,So where are we going anyway?,,"2
"
272,"4 April, 1999",1,2,Leela,Nowhere special. The .,,"2
"
273,"4 April, 1999",1,2,Fry,The moon? The moon moon? Wow! I'm gonna be a famous hero just like and those other brave guys no one ever heard of!,,"2
"
274,"4 April, 1999",1,2,Amy,"Oh, I love stuff like the moon! Can I come, Leela?",,"2
"
275,"4 April, 1999",1,2,Leela,Well ... I guess so. Just be careful. I'd like to hold off any major screw-ups until at least my second day as captain.,,"2
"
276,"4 April, 1999",1,2,Farnsworth,"Nothing will go wrong. If something goes wrong, bring back the blood.",He leans over to Leela.whispering,"2
"
277,"4 April, 1999",1,2,Fry,Can I do the countdown?,,"2
"
278,"4 April, 1999",1,2,Leela,"Huh? Oh, sure. Knock yourself out.",,"2
"
279,"4 April, 1999",1,2,Fry,Ten ... ... nine--,"The ship takes off, clears the atmosphere and approaches the moon.","2
"
280,"4 April, 1999",1,2,Leela,"OK, we're here!",,"2
"
281,"4 April, 1999",1,2,Fry,Eightsevensixfivefourthreetwooneblastoff!,awestruck,"2
"
282,"4 April, 1999",1,2,Fry,Hurry up! I wanna see the moon!,,"2
"
283,"4 April, 1999",1,2,Leela,Relax. It's open till 9.,,"2
"
284,"4 April, 1999",1,2,Fry,That's one small step for Fry--,,"2
"
285,"4 April, 1999",1,2,Man,And one giant line for admission!,,"2
"
286,"4 April, 1999",1,2,Fry,"Wow! Um, can I have cuts?",He turns to the man.,"2
"
287,"4 April, 1999",1,2,Man,Hmm ... no!,,"2
"
288,"4 April, 1999",1,2,Fry,You're not gonna believe this but they landed an amusement park on the moon!,,"2
"
289,"4 April, 1999",1,2,Amy,! It's the happiest place orbiting Earth.,,"2
"
